Unnamed: 0,ENTIDAD,Unnamed: 2,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
,AGUASCALIENTES,,24,25.1,27.2,29.4,32.3,31.5,27,28,26.1,25.6,26.7,22.7,27.1
,BAJA CALIFORNIA,,19,21.8,26.4,28,29.8,34,35.5,35.6,32.2,31,26,23,28.5
,BAJA CALIFORNIA SUR,,24.4,26.8,29.5,31.1,30.9,33.2,35.8,36.2,33.4,34.5,31.3,26.5,31.1
,CAMPECHE,,31.7,33.6,34.3,36.4,37.5,34.5,34.6,34.9,34,32.1,30.6,30.1,33.7
,COAHUILA,,24.3,27.4,28.4,31.3,33.7,35.7,35.2,34.7,32.6,28,26.5,20.4,29.9
,COLIMA,,32.4,32.7,33.3,32.3,33.4,33.4,34.5,33.6,32.5,33.8,33.6,32.6,33.2
,CHIAPAS,,30.5,32.5,32.5,33.4,33.3,31,31.3,31.6,31,30.1,29.9,28.9,31.3
,CHIHUAHUA,,20.8,23.7,27.6,30.4,32.6,36,31.5,30,30.6,28.9,27.3,19.3,28.2
,DISTRITO FEDERAL,,23.2,24.4,24.4,26.5,28.1,26.5,24.3,25,23.5,23.2,23.6,22.5,24.6
,DURANGO,,23.4,25.6,27.9,30.5,32.5,34.3,30.3,29.3,27.9,27.5,26.9,21.3,28.1
,GUANAJUATO,,25.5,26.8,28.5,30.7,32.9,30.8,27.1,28,26.4,26.3,27.1,24.7,27.9
,GUERRERO,,31.5,32.2,33.1,33.7,34,32.4,32.1,31.9,31,31.7,31.9,30.8,32.2
,HIDALGO,,24.9,27,26.9,28.8,31.3,29.6,26.4,27.9,25.6,24.7,25.3,23.7,26.8
,JALISCO,,27.4,28.6,30.9,32.5,34.5,33.4,29.7,30,28.9,29.3,29.6,26.5,30.1
,ESTADO DE MÉXICO,,21.4,22.7,23.1,24.8,26.1,24.4,22.2,22.9,21.7,21.6,22.2,21.3,22.9
,MICHOACÁN,,27.5,28.6,30.2,32.5,33.7,31.8,28.7,29.1,28.2,28.7,28.8,26.7,29.5
,MORELOS,,28.8,30.8,32.1,33.9,33,29,28.6,28.4,27.5,28.2,28.5,27.7,29.7
,NAYARIT,,29.5,32.3,34.6,34.5,35.1,34.6,34,33.3,32.6,34.1,33.7,29.3,33.1
,NUEVO LEÓN,,24.8,29.5,29.1,31.8,33.4,35.9,35,35.8,32.8,28.5,27.2,21.4,30.4
,OAXACA,,29.8,30.8,31.8,33.2,33.3,31.4,31,31.2,29.8,29.6,29.4,27.9,30.8
,PUEBLA,,24.5,26.2,26.4,28.4,29.1,27,25.5,26.4,24.7,24.5,24.2,23,25.8
,QUERÉTARO,,25.3,27.1,27.9,30.3,32.3,30.7,27.4,28,26.4,25.2,26,23.3,27.5
,QUINTANA ROO,,31,32.3,32.3,33.4,34.8,34,34.9,34.6,34.6,32,30.8,30,32.9
,SAN LUIS POTOSÍ,,26.9,30.4,30.4,33.3,34.7,35,31.6,33.6,30.6,28.7,28.9,25.2,30.8
,SINALOA,,28.9,30.6,34.1,34.4,35,36.9,36.9,36.2,35.7,37.4,35.3,30.1,34.3
,SONORA,,22.2,26.1,30.9,33,34,39.3,36.4,37,35.7,35.8,31.9,24.5,32.2
,TABASCO,,29.8,31.8,32.6,34.5,35.6,33.2,33.6,33.7,32.4,30.7,29.4,28.8,32.2
,TAMAULIPAS,,27,30.6,30,32.5,34.2,36.2,34.7,35.9,33.5,30,29,25,31.6
,TLAXCALA,,22.5,23.7,23.7,25.5,26.3,24,23.3,24.5,22.7,22.5,23.6,22.9,23.8
,VERACRUZ,,26.9,28.6,28.2,30.9,32.1,31.2,29.6,31,29.3,27.7,27,24.8,28.9
,YUCATÁN,,31,33,33.2,35.1,36.5,34.1,34,34.2,33.7,31.7,30,29.5,33
,ZACATECAS,,23.4,25.2,26.7,29.5,32.3,31.4,26.7,27.3,25,25.5,26.3,22.1,26.8
,NACIONAL,,25.4,27.9,29.7,31.8,33.2,34.2,32.4,32.4,31.1,30,28.8,24.5,30.1
